,designation,description,productid,imageid,prdtypecode,nomimage
20,Kit de désinfection pour piscines enfants 20990,,3936362802,1268740880,2583.0,image_1268740880_product_3936362802.jpg
39,Bouée gonflable River tube - OOGARDEN,Bouée gonflable River tube en PVC idéale pour des parties de glissade sur l&#39;eau.Dimensions article gonflé : 107 x 107 x 30 cmDimensions article plat : 122 cmMatière : PVCInclus : Corde de maintienConfortablement installé accrochez vous à cette Bouée gonflable River tube pour des jeux de glisse à la Piscine ou à la mer !,3147314797,1225887302,2583.0,image_1225887302_product_3147314797.jpg
53,Testeur électronique de pH,Utilisation du Testeur électronique de pHGrâce au <strong>Testeur électronique de pH</strong> la lecture est instantanée la valeur s'affiche sans besoin d'interpréter. De plus le testeur sensibilise à l'importance du pH pour un bon équilibre de l'eau.Caractéristiques techniques du Testeur électronique de pH<li>Affichage numérique </li><li>Alimentation : 2 piles R9</li><li>Garantie 1 an</li><li>Une solution tampon est fournie afin de pouvoir recalibrer l'appareil aprés une dizaine d'utilisation vous garantissant un résultat fiable.</li>,207151480,941622055,2583.0,image_941622055_product_207151480.jpg
58,Pompe de filtration Speck Badu 95,,4128438373,1295960377,2583.0,image_1295960377_product_4128438373.jpg
64,AstralCom 1 CV Mono de DAB - Surpresseur piscine,Tension (V) : Monophasé - 230 V  Puissance : 1 CV  Turbine (nombre) : 4  Compatible traitement au sel : Oui ,1857269337,1105831362,2583.0,image_1105831362_product_1857269337.jpg
65,Lot de 8 préfiltres jetables pour panier de skimmer - Marina,Lots de 8 pré-filtres jetables de la marque Marina. Universels ils sont compatibles avec touts les paniers de skimmer mesurant jusqu&#39;à 40 cm de diamètre.,2534214666,1190251480,2583.0,image_1190251480_product_2534214666.jpg
70,Piscine gonflable de pulvérisation Forme Tortue 175x62 cm 1270 L,<p>Cette merveilleuse piscine de pulvérisation vous offrira des années de divertissement avec des amis ou des familles dans votre arrière-cour. Faite d&#39;une paroi en PVC laminé résistant à 3 couches cette piscine gonflable aura une capacité de jusqu&#39;à 1270 L. La piscine peut être installée de manière rapide et facile. Il suffit de poser la pataugeoire sur une surface plane de la gonfler et de remplir la piscine avec de l&#39;eau. Cette piscine a un raccordement pour une pompe à filtre (non incluse). En outre elle est facile à replier pour le stockage et le transport lorsqu&#39;elle n&#39;est pas utilisée. Elle convient aux enfants à partir de 3 ans.</p> <ul><li>Couleur : vert et jaune</li><li>Matériau : PVC</li><li>Dimensions totales : 175 x 62 cm (Diam. x H)</li><li>Diamètre de raccordement : 35 mm</li><li>Capacité : 1270 L</li><li>Paroi laminée à 3 couches et partition épaisse</li><li>Avec fonction de pulvérisation</li><li>Peut être connectée à un tuyau d&#39;arrosage</li><li>Installation facile et rapide</li><li>Convient aux enfants à partir de 3 ans</li></ul>,3929890128,1265209491,2583.0,image_1265209491_product_3929890128.jpg
84,Bâche hiver pour piscine Toledo - 280 gr/m² - Bleu,<p>Bâche hiver pour piscine Toledo - 280 g/m² - Ourlet de renfort - Sandow périphérique - Trous d&#39;évacuation pour eaux pluviales - Fabrication française</p>Descriptif : Bâche hiver pour piscine Toledo rectangulaire - ¿illet tous les mètres - Bleu dessus - Livrée avec crochets plastiques hors sol - Protection de votre bassin contre salissures et feuilles - très résistante - légère et facile à mettre en place -.Matière : Polyéthylène tissé 280 gr/m².Dimensions de la bâche : 2 x 3 m.Poids : 1 kg.Colisage : 1 colis : - 1 x 1 x 1 m 1 kg.,1158987675,1065997226,2583.0,image_1065997226_product_1158987675.jpg
90,Idrasoft 5600 SXT - 30 L de marque Idrania - Catégorie Adoucisseur d'eau,Idrasoft 5600 SXT - 30 L de Idrania - Adoucisseur d&#39;eau,2050109964,1123155510,2583.0,image_1123155510_product_2050109964.jpg
91,Bâche de piscine bleue rectangulaire en PE 450 x 220 cm | Bleu,Cette bâche solaire de piscine repose directement sur la surface de l&#39;eau à l&#39;intérieur des bords de la piscine et peut élever la température de l&#39;eau de votre piscine jusqu&#39;à 1 ° C en fonction de la quantité de rayonnement solaire direct. Dotées de bulles d&#39;air en PE sur toute sa surface elle possède d&#39;excellentes propriétés de rétention de la chaleur. C&#39;est le moyen le moins cher pour chauffer votre piscine. De plus elle contribue à réduire l&#39;utilisation de produits chimiques ainsi que l&#39;évaporation de l&#39;eau. La bâche étant légère son installation et sa manipulation sont très faciles. Contenu de la livraison: 1 x bâche de piscine solaire (450 x 220 cm) <ul><li>Coloris: Bleu</li><li>Dimensions: 450 x 220 cm (L x P)</li><li>Matériau: Film PE épais avec des bulles d&#39;air</li><li>Matériel: PVC: 100%</li></ul>,3855161611,1253151856,2583.0,image_1253151856_product_3855161611.jpg
10,Eames Inspired Sxw Chair - Pink - Black,The timeless DSW seat can now be paired with more types of legs! These wood legs look like a natural fit for the seat and will make a safe choice for any interior. This chair will be perfect  in offices kitchens and dining rooms.  <ul><li><strong>Ideal for :</strong> kitchen Living room office waiting room or reception</li><li><strong>Available Colours :</strong> white red blue baby blue black yellow orange olive dark orange chocolate light green warm grey beige light grey blue ocean pink fushia green tree graphite tarmac and royal blue</li><li><strong>Other Features :</strong> avalaible with or without amrests.</li></ul>,1915836983,1111840281,1560.0,image_1111840281_product_1915836983.jpg
11,Fauteuil Chesterfield Brenton 100% Cuir De Buffle - Vert Empire,Canapé et fauteuil chesterfield en cuir antique BR ENTON . Coloris : Chocolat vert empire ou Rouge Cherry Disponible en canapé 4 places 3 places 2 places et fauteuil. Ses &#43; : - Un design mythique Succombez au design mythique du style Chesterfield et son capitonnage marqué du dossier qui font du salon BRENTON un modèle tendance et intemporel. Optez pour la couleur chocolat et ses reflets châtain ou sortez du commun avec le rouge cherry. Vous apprécierez lattention portée aux détails tels que le capitonnage de la structure de lassise et les coutures daccoudoirs cloutées. - Des matériaux premium Vous serez séduits par son cuir antique qui patiné à la main apporte au salon BRENTON son aspect vieilli très tendance. À la fois esthétique et agréable au toucher succombez au cuir de buffle pleine fleur qui confère à ce canapé toute son élégance. Le cuir pleine fleur est la première couche de la peau de l&#39;animal. Non corrigé il a conservé sa surface d&#39;origine appelée la fleur laissant apercevoir le grain naturel de la peau. Matière noble et luxueuse le cuir pleine fleur est particulièrement doux et agréable au toucher. - Un confort optimal A la douceur du cuir plein fleur s&#39;ajoute  le confort du garnissage en mousse haute résilience qui vous garantit un confort absolu et durable. Choisir le BRENTON c&#39;est opter pour un canapé haut de gamme qui vous apportera une satisfaction totale et durable. Caractéristiques techniques : LINEA SOFA :  La collection de salons LINEA SOFA répond aux désirs de confort et d&#39;ésthétisme de ceux qui recherchent des produits d&#39;exception. Spécialisée dans les salons de designers haut de gamme la marque LINEA SOFA donne de la personnalité à votre intérieur ! Un soin extrême est apporté à la fabrication de ces produits de luxe aux finitions irréprochables conçus dans des matériaux nobles exclusivement. Toujours à la pointe des tendances LINEA SOFA tient à proposer sans cesse des collections à la fois fonctionnelles et uniques au nuancier de couleurs innovantes. Cuir de buffle Pleine fleur . Matière noble et luxueuse le cuir pleine fleur est particulièrement doux et agréable au toucher. Fleur corrigée et pigmentée  épaisseur 09 - 11 mm. Cuir antique : Cuir pleine fleur patiné à la main pour un aspect vieilli et brillant durable Ce salon est recouvert exclusivement de cuir de buffle pleine fleur vous garantissant ainsi qualité confort et longévité. Assise et dossier garnis de mousse de polyuréthane haute résilience. Utilisée en literie la mousse haute résilience est plus confortable et plus robuste que les mousses classiques et vous assure donc un plus grand confort et une meilleure résistance au cours du temps. Densité d&#39;assise 40 kg/ m3 pour la première couche 30 kg/m3 pour la deuxième couche et 22 kg/m3 pour la troisième couche. Densité du dossier et des accoudoirs : 30 kg/ m3 pour la première couche 22 kg/m3 pour la seconde couche . Suspension du dossier sur sangles élastiques et ressorts. Suspension de l&#39;assise sur ressorts hélicoïdaux .  Structure et pieds en bois. Bon à savoir : Le cuir de buffle est un cuir dont le relief est plus important son grain est à la fois naturel et irrégulier. Ces caractéristiques en font un matériau particulièrement résistant et qualitatif  qui lui vaut le surnom de diamant du cuir. Dimensions : - du canapé 4 places : L240 x P99 x H73 cm - du canapé 3 places : L201 x P96 x H73 cm - du canapé 2 places : L160 x P96 x H73 cm - du fauteuil : L105 x P96 x H73 cm Hauteur d&#39;assise: 46 cm Profondeur d&#39;assise: 57 cm Veillez à bien vérifier les dimensions de votre porte/escalier pour la livraison. Le délai de livraison de ce produit vous sera confirmé dans votre panier. Dimensions et colis : Fauteuil BRENTON : Produit : Longueur 105 cm Largeur 96 cm Hauteur 73 cm Poids 36 kg Colis : Longueur 112 cm Largeur 103 cm Hauteur 80 cm Poids 36 kg,4127967621,1295816984,1560.0,image_1295816984_product_4127967621.jpg
14,Matelas Mémoire De Forme 180x200 X 20 Cm Très Ferme - Déhoussable Housse Lavable - 7 Zones De Confort - Noyau Poli Lattex Hr Dernière Génération - Très Respirant,MATELAS:<br />Â· Accueil : Ferme .<br />Â· Soutien : Très Ferme .<br />Â· Technologie matelas : Face été &#43; à¢me en Mousse Poli Lattex Dernière Génération Indéformable Très Haute Résilience - Face Hiver 45 cm de Mousse à  Mémoire de Forme Très Haute Densité 60 Kg/m3 &#34; Massante&#34;<br />Â· Épaisseur du matelas : &#43;/- 20 cm.<br />Â· REPOS PLUS SAIN grà¢ce au Traitement Anti-acariens / anti-bactérien / Anti-moisissures.<br />Â· Très Bonne Indépendance de couchage.<br />Â· DORMEZ TRANQUILLE avec la Garantie 5 ans.  Il est Compatible avec les Sommiers Mécaniques et électriques<br />Coutil:<br />Â· Coutil stretch matelassé de 290 gr/m2 de Polyester avec traitement Sanitized. Faces de couchage Réversibles - Déhoussable sur 3 Cà¿tés et Housse Lavable à  30Â° position Lavage à  la main Délicat -<br />Â· SANITIZED : Traitement antibactérien et anti-moisissures diminuant également le développement des odeurs.<br />Structure et garnissage du matelas:<br />Â· Faces Dormeur : 15 cm de mousse profilée à  Haute Ventilation pour Maximiser le Confort &#43; coutil en tissu 3D pour la bonne Respiration du noyau matelassé Air System.<br />Â· Tissu Hyper Respirant réalisé en 3 dimensions qui permet une circulation libre de l&#39;air offrant ainsi une plus grande ventilation et dâ¿¿hygiène.<br />Â· Plate-bande: Tissu Hyper RESPIRANT matelassé avec de la ouate polyester <br />Â· à¿me noyau : bloc de 15 cm de Mousse HAUTE RESILIENCE Poli Lattex dernière génération Indéformable<br />Â·  La structure du matelas est divisée en 7 incroyables zones de confort qui s&#39;adaptent à  tous types de morphologies et aident à  libérer les tensions musculaires pour soulager les maux de dos provoqués par de mauvaises postures au cours de la journée.<br />Â· TISSUS CERTIFIES : Système de Qualité Certifié Oeko-tex 100  Certipur testé contre les substances nocives. Certification ISO 9001,4108914287,1292441752,1560.0,image_1292441752_product_4108914287.jpg
